Loja,Item,Treino,Previsao
CA_1,FOODS_3_090,5.284323692321777,0.11780047416687012
CA_1,FOODS_3_586,5.720161437988281,0.13846898078918457
CA_2,FOODS_3_586,6.178181171417236,0.14392876625061035
CA_2,FOODS_3_252,4.975353479385376,0.12603759765625
CA_3,FOODS_3_090,5.892432928085327,0.16048216819763184
CA_3,FOODS_3_586,5.853835105895996,0.14927339553833008
CA_4,FOODS_3_090,5.753700494766235,0.15030431747436523
CA_4,FOODS_3_586,4.667530298233032,0.13370585441589355
TX_1,FOODS_3_586,4.397251844406128,0.11810994148254395
TX_1,FOODS_3_090,4.722817420959473,0.12726521492004395
TX_2,FOODS_3_586,4.415209770202637,0.11723041534423828
TX_2,FOODS_3_090,4.617440462112427,0.15070009231567383
TX_3,FOODS_3_586,4.532412767410278,0.11720895767211914
TX_3,FOODS_3_090,5.318321943283081,0.1173403263092041
WI_1,FOODS_3_226,4.5327308177948,0.11716723442077637
WI_1,FOODS_3_694,4.43208122253418,0.13231158256530762
WI_2,FOODS_3_226,4.549018144607544,0.13265132904052734
WI_2,FOODS_3_694,4.816626071929932,0.11704087257385254
WI_3,FOODS_3_090,4.6998374462127686,0.185837984085083
WI_3,FOODS_3_226,4.637714385986328,0.16036748886108398
